Ticker,Date
NEE,10/28/2015
NEE,08/03/2015
NEE,04/29/2015
NEE,01/27/2015
MCD,01/29/2021
MCD,11/09/2020
MCD,07/28/2020
MCD,04/30/2020
MCD,01/29/2020
MCD,10/22/2019
MCD,07/26/2019
MCD,04/30/2019
MCD,01/30/2019
MCD,10/23/2018
MCD,07/26/2018
MCD,04/30/2018
MCD,01/30/2018
MCD,10/24/2017
MCD,07/25/2017
MCD,04/25/2017
MCD,01/23/2017
MCD,10/21/2016
MCD,07/26/2016
MCD,04/22/2016
MCD,01/25/2016
MCD,10/22/2015
MCD,07/23/2015
MCD,04/22/2015
MCD,01/23/2015
DHR,01/29/2021
DHR,10/22/2020
DHR,07/23/2020
DHR,05/07/2020
DHR,01/30/2020
DHR,10/24/2019
DHR,07/18/2019
DHR,04/18/2019
DHR,01/29/2019
DHR,10/18/2018
DHR,07/19/2018
DHR,04/19/2018
DHR,01/30/2018
DHR,10/19/2017
DHR,07/20/2017
DHR,04/20/2017
DHR,01/31/2017
DHR,10/20/2016
DHR,07/25/2016
DHR,04/21/2016
DHR,01/26/2016
DHR,07/23/2015
DHR,04/23/2015
DHR,01/27/2015
DHR,10/16/2014
COST,12/11/2020
COST,09/24/2020
